date,pnl
2026-01-02,-186
2026-01-05,-900
2026-01-06,630
2026-01-07,-170
2026-01-08,882
2026-01-09,202
2026-01-12,484
2026-01-13,629
2026-01-14,550
2026-01-15,842
2026-01-16,-1767
2026-01-20,-150
2026-01-21,538
2026-01-22,230
2026-01-23,265
2026-01-26,-1290
2026-01-27,922
2026-01-28,-327
2026-01-29,-2079
2026-01-30,3262
2026-02-02,1143
2026-02-03,1421
2026-02-04,597
2026-02-05,1122
2026-02-06,2136
2026-02-09,745
2026-02-10,-1064
2026-02-11,1137
2026-02-12,-2000
2026-02-13,-1804
2026-02-17,683
2026-02-18,92
2026-02-19,-1038
2026-02-20,4613
2026-02-23,729
